StationName,StationID,μₑ,ϕₑ,ξₑ,BIC
TWILLINGATE (AUT),8404025,45.83385098343221,2.011438243809018,0.18943136894341783,80.89906007972014
BATTLE HARBOUR LOR,8500398,42.852482050988044,2.493889748079196,-0.343164813545771,92.73323143598347
CHURCHILL FALLS A,8501132,32.33580271299394,1.8933774711712996,0.016141160449957795,169.64974497917626
GOOSE A,8501900,37.65401336532354,2.306776909526621,-0.08533474503353906,426.3493104682595
MARY'S HARBOUR A,8502591,35.21242870414925,2.471975290532102,0.011723207963324345,104.91504566651216
NAIN,8502799,39.135363800109616,2.3911076784478262,-0.38786927718442593,167.1719412209607
WABUSH LAKE A,8504175,31.523918958676113,2.035605680162969,-0.005701271285662803,204.92639244070347
CARIBOU POINT (AUT),8200774,52.368049461178934,2.412411911165842,-0.0953144384137494,85.46100274760163
EDDY POINT,8201716,68.5861081149593,2.6973723846718647,-0.6023359449584411,110.18242039567022
GREENWOOD A,8202000,52.8085411632923,2.6467104259840744,-0.010203906499819594,416.251331383742
HALIFAX,8202200,53.5748957103123,2.916103778298494,0.4009077202089493,226.77670434418832
HALIFAX INTL A,8202251,67.28791409251268,2.504600691064129,0.20723086488643896,211.3414187177431
INGONISH BEACH,8202500,75.88680049685493,3.058620047383827,-0.009220804557270895,147.31472534963055
KENTVILLE CDA CS,8202810,53.03195356252371,2.7368255186729162,-0.04017648973345385,371.7973288122155
NAPPAN AUTO,8203702,61.49989952519187,2.8677522063057594,-0.31919578220357897,92.56045427888797
SABLE ISLAND,8204700,61.993974950204304,2.7552406997212846,0.0938869091074144,468.59406990429807
SHARPE BROOK IHD,8205085,62.15968612456152,2.9529473395114136,0.20702221496422527,98.87116913129859
SHEARWATER RCS,8205092,60.595941303540826,2.7757341853794975,0.07834352806557898,530.4417701631853
SHELBURNE,8205126,58.76974686269371,2.312577074164282,0.08957865848052327,134.55183496849145
SYDNEY CS,8205702,61.38336475361811,2.5568430212811073,0.18278697758925924,461.02080364055996
TRURO,8205990,53.73965322560162,2.6129331866958108,-0.02064569913957393,235.62183169448576
WESTERN HEAD,8206240,71.90317761535083,2.8321185862592655,0.23653881589704856,144.53506210748805
YARMOUTH A,8206495,62.7547607034521,2.5788772029840654,-0.02264049268470314,383.652698593155
BIG TROUT LAKE,6010738,35.072487096052754,2.019594876129256,0.45476131868451775,210.01454129656491
EAR FALLS (AUT),6012199,39.222332616294125,2.37721857652868,0.07123029815179027,419.8071418170565
LANSDOWNE HOUSE (AUT),6014353,38.72498498327116,2.6959970226671897,0.04944324272360412,233.34541978903084
PICKLE LAKE (AUT),6016525,39.57226474212678,2.4354653557184864,0.07753004283890975,360.1393665704917
RED LAKE A,6016975,37.95314395858589,2.51793526327432,-0.08946751875166083,220.59218268866098
ATIKOKAN (AUT),6020LPQ,44.81902756961648,2.3656870346315726,0.2997093117847075,223.7357512226509
