StationName,StationID,μ,σ
TORONTO BOOTH,6158406,40.31257024145915,11.513350482221904
TORONTO ELLESMERE,6158520,39.775555064427685,7.903171494409202
TORONTO ETOBICOKE,6158525,43.662110664416225,8.752302394642939
TORONTO GREENWOOD,6158575,38.074884357486056,8.71093967280994
TORONTO ISLAND A,6158665,40.194241969659494,9.452377655177703
TORONTO INTL A,6158731,42.51460672271558,11.62046039207575
TORONTO LESLIE EGLINTON,6158732,37.68237348899129,9.273395226902824
TORONTO MET RES STN,6158740,40.17776891917607,10.67603282287781
TORONTO OLD WESTON RD,6158764,38.69746044164069,10.09654320722389
TORONTO SENECA HILL,61587PG,38.73362381033457,7.994473396099109
TRENTON A,6158875,45.71258980769489,12.702607211546914
TWEED,6159010,39.924808658946844,7.159130092476596
WILCOX LAKE,6159510,40.420293986309304,13.896053904515743
TORONTO YORK MILLS,615HHDF,32.94822539689174,12.799687585682296
TORONTO BUTTONVILLE A,615HMAK,40.37982047048651,10.539957228612074
OAKVILLE SOUTHEAST WPCP,615N745,44.44374988340046,9.244204972189399
TORONTO NORTH YORK,615S001,41.228810975664345,13.234504692779545
HALIBURTON 3,6163171,42.972827694929734,12.299207421440922
LINDSAY FILTRATION PLANT,6164432,40.09810711732702,9.086733548139748
PETERBOROUGH A,6166418,43.92886664933822,13.217098900187928
PETERBOROUGH STP,6166450,39.31115679319973,12.381892514252428
PETERBOROUGH TRENT U,6166456,38.42922234760873,7.985777164284967
WEST GUILFORD,6169453,47.0091712369085,14.565164385887254
CHARLOTTETOWN A,8300301,54.12064531631298,17.64341701462788
SUMMERSIDE,8300596,42.411066678301076,11.069584107343594
HARRINGTON CDA CS,830P001,51.37676096253323,13.928845422177453
BEAUPORT,7010565,50.86160001299441,6.522746726117974
CHARLESBOURG PARC ORLEAN,7011309,52.7324832534033,12.838673358428684
DESCHAMBAULT,7011982,47.9829935404005,12.87247474125493
DUBERGER,7012232,52.228306927124684,13.936331486356792
DUCHESNAY,7012240,53.89313466480171,10.171769865133587
JOLIETTE VILLE,7013362,43.95265417019905,13.320616434470923
L'ASSOMPTION,7014160,48.04552964432132,12.383720303178539
OKA,7015730,44.258369240850385,12.866938803301462
QUEBEC,7016280,54.101869659640336,20.456873537624013
ST ALBAN,7016800,50.669027073593185,12.481650688783352
ST AUGUSTIN,7016900,51.40512016844765,12.266360262477784
STE BEATRIX,7016902,50.46725526786934,12.728484483516514
ST BENOIT,7016906,44.68419764724677,11.273998076370148
STE CATHERINE,7016932,48.41622112337504,14.380795829230461
ST DONAT,7017100,45.30112038350014,10.470305048045548
STE FOY MATAPEDIA,7017B65,49.8920738257693,11.684534926091807
STE FOY (PIE XII),7017BFN,52.355314838021656,13.886530009124378
SHAWINIGAN,7018001,44.68057797207767,13.48111255460935
COURVILLE DE POISSY,701A9E0,55.3571793035444,12.599957951729346
TROIS RIVIERES AQUEDUC,701HE63,45.83366801019484,12.015021228086693
QUEBEC JEAN LESAGE INTL,701S001,51.59513386873654,11.346920810467083
ARTHABASKA,7020305,45.27255042653289,7.2991784591901405
ASBESTOS,7020360,39.49082597701553,12.224674252571834
BROME,7020840,48.75033091076776,13.939826742422
CHARTIERVILLE,7021320,43.27073876621842,8.739036020614133
DANVILLE,7021954,47.11358546116222,12.61814441437595
DRUMMONDVILLE,7022160,42.22610883369999,11.511145057180293
FORTIERVILLE,7022494,47.0048058356153,12.390660073616093
GEORGEVILLE,7022720,46.366454688537814,12.289813440070803
GRANBY,7022800,52.374965274267055,13.402573567730172
ISLAND BROOK,7023312,43.095921654556165,9.762718096273481
LAC MEGANTIC 2,7023677,40.43872918174533,12.368950743837097
LAUZON,7024254,50.60310705431255,13.027051093985357
