StationName,StationID,δμ,δϕ,δξ
THUNDER BAY CS,6048268,-0.00015477420355836102,-1.2740302794078673e-5,1.3480931432829912e-6
ELLIOT LAKE A,6052259,1.1713830190274166e-5,8.380310540179181e-6,-7.283323169626765e-6
MISSISSAGI ONT HYDRO,6055210,0.00020267891144243322,-8.446605346268399e-6,-1.4444772361926761e-5
RAYNER,6056907,0.0002678538634839356,4.280943609380472e-6,-9.971531556796087e-6
SAULT STE MARIE A,6057592,0.00012981245468779434,6.177843132615379e-6,-1.0429970181108361e-5
WAWA (AUT),6059408,-0.00046458450127317974,-2.2523416975062105e-5,2.0586015806033087e-5
WHITE RIVER,6059475,0.0005820861113932096,1.0168314340308626e-5,-1.945755463416592e-5
CHAPLEAU A,6061361,-7.378159406101759e-5,-1.850145338311293e-5,-9.085253401722171e-6
SUDBURY A,6068150,0.00023863817087033112,-2.9523300311140588e-6,-3.5096454992278314e-5
SUDBURY SCIENCE NORTH,6068158,-7.364990886316036e-5,-1.6032209927185903e-5,-1.0524697010350081e-5
DYMOND ONT HYDRO,6072183,-4.0695083733055526e-5,-3.332753033813418e-5,1.6034735769554498e-5
KAPUSKASING CDA ON,6073980,2.8224603958904027e-5,-2.6631409964839037e-5,-3.724289201895159e-6
KIRKLAND LAKE CS,6074211,-0.00017072829017905633,6.919269326388644e-7,-8.420524383961903e-6
MOOSONEE RCS,6075435,-0.0003862939519976294,2.1765387847594297e-6,1.355415139203675e-5
PINARD,6076540,-0.0005953746841385055,-9.187496953888541e-6,2.6230428419649066e-5
TIMMINS VICTOR POWER A,6078285,1.4445504902482753e-5,-5.481543333907268e-6,-1.352157736028703e-5
UPPER NOTCH,6079068,-3.5268364342755376e-5,3.1431673055415388e-6,7.578276623176894e-6
LA CAVE,6084278,-0.00027239791910460553,-2.386665591824766e-5,7.200788801300928e-6
LAKE TRAVERSE,6084307,-8.393720533916849e-5,-6.0294110529213185e-5,3.4996393152297856e-6
NORTH BAY A,6085700,-0.00015565566215514082,1.9853675992109743e-6,2.1208606908882516e-5
GREAT DUCK ISLAND,6093004,-0.00018231893796638587,2.7952535384123678e-5,2.2809854451376343e-5
BARK LAKE DAM,6100493,-0.00014021599376334848,-2.384059145121853e-5,3.040286558009253e-6
BROCKVILLE PCC,6100971,7.069355323352511e-5,-1.6534624514008556e-7,-4.952012236374148e-6
COMBERMERE,6101820,6.320012641225503e-5,1.6229877453088903e-5,-5.587243805144082e-6
CORNWALL,6101874,0.0003647370810639927,1.0601542459465207e-5,-7.521874002103246e-6
CORNWALL ONT HYDRO,6101901,0.00020671837575747531,5.014600064967567e-6,-1.7236415936316973e-5
KEMPTVILLE CS,6104027,3.107513339983825e-5,-2.9864948846825e-5,9.81237347073144e-6
KINGSTON CLIMATE,6104142,0.00021401433622969535,1.2558183831945513e-5,-1.4918582139478165e-5
KINGSTON PUMPING STATION,6104175,0.00014284264388209067,9.488872418028649e-6,-1.287245639067236e-6
OTTAWA CDA RCS,6105978,0.00012894101777050082,1.277663571386256e-5,-1.8815113838055453e-6
OTTAWA MACDONALD-CARTIER INT'L A,6106000,-3.3831027806741076e-5,-8.344148127115147e-6,7.908618916252497e-6
PETAWAWA NAT FORESTRY,6106400,-0.00013585454804143637,-2.1635539458220165e-5,1.5454084515753586e-5
SMITHS FALLS TS,6107836,-6.278904902501381e-5,-1.0305349024797295e-5,2.868294926414161e-5
BARRIE WPCC,6110557,-1.729071986034114e-5,-1.5116869025444402e-5,-1.209112216252195e-5
BEAUSOLEIL,6110617,-0.0007808452708388813,-2.7304365981528633e-5,1.2340982339098527e-6
COLLINGWOOD,6111792,-0.00027214192951419136,3.101941841165967e-7,-2.4490434669399708e-6
DORSET MOE,6112072,4.391042004669998e-6,1.2825957178552727e-5,-1.2514333888047346e-6
ORILLIA BRAIN,6115811,0.00014431404328263397,-2.4662643056672096e-6,-8.089994268739575e-6
OWEN SOUND MOE,6116132,-0.00014448137154943197,-1.6610860433807773e-6,1.4825617259128787e-5
PARRY SOUND CCG,6116257,0.0003836698757950785,-1.0379577179087107e-5,-1.4066421848424326e-5
RAGGED RAPIDS,6116843,0.00013187036778106176,5.915574376125221e-6,-5.962239279039272e-6
BARRIE-ORO,6117700,-7.942648988290557e-5,-1.739028794078834e-6,7.866648812165922e-6
UTTERSON ONT HYDRO,6119115,-0.00048028691551138536,3.822530948349723e-5,-3.535541709009937e-5
WIARTON A,6119500,8.610461983238338e-5,1.553905732354366e-5,1.0829320161748202e-5
EGBERT CS,611E001,-0.0001381053061493276,2.1100243105642846e-5,-5.822742762007227e-6
COVE ISLAND,6121912,-0.00015679863128781335,-2.0893640378272238e-5,-2.2511848305262205e-5
CYPRUS LAKE CS,6121940,-0.000334519062249683,1.780400476381061e-6,-1.5996715404031914e-5
GODERICH,6122847,-0.0002427797194357595,-2.2847482714194456e-5,-2.1393669284996975e-5
SARNIA CLIMATE,6127519,0.0001524703819768547,5.20544686422042e-6,5.7428372600421e-7
CHATHAM WPCP,6131415,-0.0003154723027023465,1.0055593194113754e-5,3.6171720309008393e-6
DELHI CS,6131983,0.00020944557759605686,1.287236184221996e-5,-1.0635462676239493e-5
HARROW CDA AUTO,6133362,16.90928818201732,1.6157298074515172,-0.6608502698797704
LONG POINT,6134610,-6.37256028355182e-5,-3.576805091221047e-6,1.9316434111404934e-5
NIAGARA FALLS,6135638,5.494263668737176e-5,-2.218053743341386e-6,4.438203257690898e-6
